date,weekday,period,total
9/2/2021,4,1,545
9/2/2021,4,2,1222
9/2/2021,4,3,1005
9/2/2021,4,4,254
9/3/2021,5,1,450
9/3/2021,5,2,1116
9/3/2021,5,3,736
9/3/2021,5,4,78
9/4/2021,6,1,94
9/4/2021,6,2,657
9/4/2021,6,3,526
9/4/2021,6,4,0
9/5/2021,7,1,0
9/5/2021,7,2,621
9/5/2021,7,3,519
9/5/2021,7,4,0
9/6/2021,1,1,130
9/6/2021,1,2,713
9/6/2021,1,3,727
9/6/2021,1,4,120
9/7/2021,2,1,701
9/7/2021,2,2,1268
9/7/2021,2,3,1136
9/7/2021,2,4,246
9/8/2021,3,1,660
9/8/2021,3,2,1240
9/8/2021,3,3,1006
9/8/2021,3,4,306
9/9/2021,4,1,626
9/9/2021,4,2,1273
9/9/2021,4,3,986
9/9/2021,4,4,243
9/10/2021,5,1,559
9/10/2021,5,2,1172
9/10/2021,5,3,798
9/10/2021,5,4,97
9/11/2021,6,1,83
9/11/2021,6,2,768
9/11/2021,6,3,607
9/11/2021,6,4,1
9/12/2021,7,1,0
9/12/2021,7,2,828
9/12/2021,7,3,824
9/12/2021,7,4,0
9/13/2021,1,1,646
9/13/2021,1,2,1285
9/13/2021,1,3,1005
9/13/2021,1,4,304
9/14/2021,2,1,614
9/14/2021,2,2,1270
9/14/2021,2,3,1013
9/14/2021,2,4,304
9/15/2021,3,1,607
9/15/2021,3,2,1313
9/15/2021,3,3,932
9/15/2021,3,4,316
9/16/2021,4,1,595
9/16/2021,4,2,1276
9/16/2021,4,3,979
9/16/2021,4,4,206
9/17/2021,5,1,477
9/17/2021,5,2,1077
9/17/2021,5,3,671
9/17/2021,5,4,71
9/18/2021,6,1,81
9/18/2021,6,2,694
9/18/2021,6,3,543
9/18/2021,6,4,0
9/19/2021,7,1,0
9/19/2021,7,2,711
9/19/2021,7,3,692
9/19/2021,7,4,0
9/20/2021,1,1,586
9/20/2021,1,2,1210
9/20/2021,1,3,999
9/20/2021,1,4,312
9/21/2021,2,1,580
9/21/2021,2,2,1276
9/21/2021,2,3,1000
9/21/2021,2,4,293
9/22/2021,3,1,580
9/22/2021,3,2,1292
9/22/2021,3,3,981
9/22/2021,3,4,226
